Date;Time;Millis;Comment;Latitude;Longitude;Altitude;Course;Speed;HDOP;Satellites;BatteryLevel;Left;Right;Confirmed;Marked;Invalid;InsidePrivacyArea;Factor;Measurements;Tms1;Lus1;Rus1;Tms2;Lus2;Rus2;Tms3;Lus3;Rus3;Tms4;Lus4;Rus4;Tms5;Lus5;Rus5;Tms6;Lus6;Rus6;Tms7;Lus7;Rus7;Tms8;Lus8;Rus8;Tms9;Lus9;Rus9;Tms10;Lus10;Rus10;Tms11;Lus11;Rus11;Tms12;Lus12;Rus12;Tms13;Lus13;Rus13;Tms14;Lus14;Rus14;Tms15;Lus15;Rus15;Tms16;Lus16;Rus16;Tms17;Lus17;Rus17;Tms18;Lus18;Rus18;Tms19;Lus19;Rus19;Tms20;Lus20;Rus20;Tms21;Lus21;Rus21;Tms22;Lus22;Rus22;Tms23;Lus23;Rus23;Tms24;Lus24;Rus24;Tms25;Lus25;Rus25;Tms26;Lus26;Rus26;Tms27;Lus27;Rus27;Tms28;Lus28;Rus28;Tms29;Lus29;Rus29;Tms30;Lus30;Rus30;Tms31;Lus31;Rus31;Tms32;Lus32;Rus32;Tms33;Lus33;Rus33;Tms34;Lus34;Rus34;Tms35;Lus35;Rus35;Tms36;Lus36;Rus36;Tms37;Lus37;Rus37;Tms38;Lus38;Rus38;Tms39;Lus39;Rus39;Tms40;Lus40;Rus40;Tms41;Lus41;Rus41;Tms42;Lus42;Rus42;Tms43;Lus43;Rus43;Tms44;Lus44;Rus44;Tms45;Lus45;Rus45;Tms46;Lus46;Rus46;Tms47;Lus47;Rus47;Tms48;Lus48;Rus48;Tms49;Lus49;Rus49;Tms50;Lus50;Rus50;Tms51;Lus51;Rus51;Tms52;Lus52;Rus52;Tms53;Lus53;Rus53;Tms54;Lus54;Rus54;Tms55;Lus55;Rus55;Tms56;Lus56;Rus56;Tms57;Lus57;Rus57;Tms58;Lus58;Rus58;Tms59;Lus59;Rus59;Tms60;Lus60;Rus60
15.12.2021;10:37:31;20223;;470.638.754;154.320.661;448.33;19.513.860;29.0;6.22;3;4.06;;1;0;;0;0;58;30;0;;;63;;1494;79;;;112;;1514;129;;;162;;1568;178;;;211;;1688;227;;;261;;1767;277;;;310;;1827;326;;;359;;1901;384;;;418;;2038;440;;;473;;2141;495;;;528;;2196;551;;;584;;2318;607;;;640;;2373;662;;;695;;2439;720;;;753;;2480;776;;;809;;2601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:31;21051;;470.638.754;154.320.661;448.33;19.513.860;29.0;6.22;3;4.05;;14;0;;0;0;58;36;0;;;39;;2589;61;;;95;;2601;112;;;145;;2649;162;;;195;;2693;218;;;251;;2736;274;;;307;;2811;329;;;363;;2839;385;;;419;;2865;436;;;469;;2916;492;;;525;;2903;550;;;583;;2979;601;;;634;;2957;651;;;684;;2987;707;;;741;;2922;764;;;797;;2857;814;;;847;;2850;872;;;905;;;938;;;971;;2937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:32;22051;;470.629.488;154.321.408;452.57;18.754.881;44.4;6.21;3;4.05;2;20;0;;0;0;58;34;0;;;39;;3004;62;;;95;;2953;118;;;151;;3103;174;;;208;;3275;231;;;264;;3426;288;1505;;304;;3477;327;1459;;344;;3626;363;1870;;379;;;420;;;462;;4077;489;;;522;;4326;547;;;580;;4551;599;;;632;;4815;657;;;690;;4901;718;;;751;;4815;770;;;803;;;842;;;875;;;918;;;951;;4543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:33;23021;;470.622.102;154.321.391;456.02;18.671.647;51.4;6.21;3;4.05;;49;0;;0;0;58;36;0;;;34;;4600;63;;;106;;4722;126;;;159;;4733;186;;;219;;5001;238;;;272;;;310;;;343;;4924;363;;;396;;4977;421;;;454;;5063;474;;;507;;5083;532;;;565;;5111;585;;;618;;5132;644;;;677;;5147;696;;;730;;5238;749;;;782;;5170;808;;;841;;5185;861;;;894;;5195;914;;;947;;5177;966;;;999;;5168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:34;24040;;470.614.889;154.323.216;452.50;19.045.305;46.2;9.49;4;4.05;;55;0;;0;0;58;36;0;;;34;;5190;64;;;97;;5159;117;;;150;;5159;175;;;208;;5135;228;;;261;;5117;281;;;314;;5105;334;;;367;;5088;386;;;419;;5061;445;;;478;;5002;497;;;531;;5003;556;;;589;;4964;609;;;642;;4955;667;;;700;;4933;720;;;753;;4924;772;;;805;;4932;825;;;858;;4977;877;;;910;;4950;930;;;963;;5023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:35;25024;;470.628.268;154.331.260;376.63;17.879.580;15.5;1.97;5;4.05;;56;0;;0;0;58;34;0;;;33;;5076;60;;;96;;5138;122;;;155;;5249;180;;;214;;5339;241;;;274;;5350;300;;;333;;5449;353;;;386;;5500;412;;;445;;5698;471;;;504;;5699;530;;;564;;5827;584;;;617;;5953;645;;;679;;6109;705;;;738;;6271;765;;;798;;6349;824;;;858;;6504;884;;;917;;6612;946;;;980;;6737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:36;26031;;470.628.903;154.331.928;348.69;16.529.507;14.7;1.97;5;4.05;161;86;0;;0;0;58;33;0;;;34;;6873;80;;;113;;;152;;;185;;7254;215;13042;;242;;7334;270;12838;;297;;7476;319;11177;;345;;7545;373;11122;;399;;7719;431;11033;;456;;7910;484;12591;;511;;7952;539;12635;;567;;8123;595;;;628;;8279;658;;;691;;8407;719;10443;;744;;8672;773;;;806;;;844;;;877;;8937;908;;;942;;;984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:37;27048;;470.630.656;154.330.988;331.31;15.398.049;10.2;2.01;4;4.05;;137;0;;0;0;58;30;0;;;38;;9725;72;;;105;;9963;137;;;170;;10279;195;;;228;;;266;;;300;;;342;;;375;;;408;;;441;;11511;467;;;500;;;534;;;567;;;600;;;633;;12379;660;;;693;;;726;;;759;;;792;7116;;814;;13170;842;;;875;;;908;;;941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:38;28060;;470.631.084;154.329.802;342.24;15.398.049;6.9;2.38;4;4.05;;227;0;;0;0;58;29;0;;;52;;;86;;;119;;;152;;;185;;14845;214;;;247;;;280;;;313;;;347;;;380;;14827;409;;;442;;14942;481;;;514;;15004;543;;;577;;;615;;;648;;13486;676;;;710;;15127;747;;;780;;;813;;;846;;15173;881;;;915;;15204;950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.12.2021;10:37:39;29043;;470.628.526;154.327.032;426.60;15.398.049;5.4;3.79;3;4.05;;231;0;;0;0;58;29;0;;;35;;14961;70;;;103;;;141;;;175;;;217;;;250;;;283;;;316;;;349;;;382;;;415;;;448;;;482;;;515;;;548;;;581;;;614;;;647;;16436;678;12179;;705;;;738;;;771;;;804;;;837;;17591;869;;;902;;;935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
